id,length,bin,ofdeg,gc,principal component 1,principal component 2,principal component 3
contig-10000000,117721,31,-0.0791701303904291,0.33544567239490003,-15.844825542092732,-3.901846038901172,-4.78246992116922
contig-1002000000,7154,11,-0.0741777851809751,0.546407604137545,5.194667400763925,7.55263345271032,5.240202458033755
contig-1011000000,7068,11,-0.0703067208510367,0.5207979626485569,3.103777157957628,7.737831872909109,4.614251178848831
contig-1020000000,6913,11,-0.073516144385703,0.5320410820193839,4.4213527127926415,5.673960721871181,2.3625743402065
contig-1023000000,6877,11,-0.0717675446467086,0.530173040570016,4.096224426911512,9.000039134674962,3.794775221686633
contig-104000000,45307,61,-0.0665826307298288,0.499679961153906,0.825737557926349,4.302536410939155,0.35619774929826636
contig-1042000000,6747,11,-0.0746441659257367,0.5470579516822289,5.398201817871335,7.5821172905292205,5.7554490685521715
contig-1043000000,6653,11,-0.0721595863504021,0.5329926349015479,4.11921350747081,7.707293930535654,4.637210522568956
contig-105000000,45048,41,-0.0720691134237261,0.38467856508612996,-11.457470260099848,-5.109526955266583,5.827473128522125
contig-1058000000,6622,11,-0.0727471323226554,0.5437934158864389,5.641681078883074,8.613843991793393,2.5248794689140364
contig-108000000,44498,71,-0.0834740887736106,0.65164726504562,15.741834557149346,-3.8596350941510456,-1.5195112024394228
contig-1085000000,6259,71,-0.0843951966936695,0.661926825371465,16.3075339264591,-3.6704403972065127,-2.310517607202653
contig-109000000,44398,71,-0.0836438782218207,0.653182575791702,15.459159978860566,-3.2306301727629836,-1.6705357813364388
contig-11000000,116118,31,-0.0784807386273085,0.33648529943678007,-15.847032293134212,-3.2070878402428082,-4.908813906305318
contig-1104000000,91793,32,-0.0817430646570858,0.32893575762857696,-13.826003335823163,1.7625761589393634,-9.382447383620608
contig-1127000000,28353,61,-0.0671310358932712,0.5131379395478429,2.502451990436367,4.5205233743695175,-0.34035019588748305
contig-1128000000,5795,32,-0.0812459307861007,0.331147540983607,-13.661335844752426,2.5852782102571217,-8.844355525589606
contig-1132000000,5722,11,-0.0731140806924548,0.546137714085984,6.28066861407926,9.530576633344118,1.9829400204853527
contig-1137000000,15577,11,-0.0709817339423905,0.520831995891378,3.561069281750587,7.7879579235376255,3.1698888365226674
contig-1138000000,5690,71,-0.0821612120833191,0.651142355008787,15.986285800311041,-3.170741351514213,-2.406776371998407
contig-1159000000,5492,11,-0.0712987982734247,0.51693372177713,4.436630199778121,8.598864797834475,1.879127960196739
contig-1167000000,5469,81,-0.0890760439055697,0.6641067836898891,16.782693159075336,-3.6979279213090908,-1.9033646723917077
contig-1182000000,5353,11,-0.0714007505243266,0.5385764991593499,5.69072775957535,7.81193170350829,3.614032453810666
contig-119000000,42716,41,-0.0705419451145763,0.39275681243562105,-10.146892811137738,-4.690962555328645,4.671040971756833
contig-1197000000,5232,11,-0.0736575505286615,0.533448012232416,4.571034372791278,8.092098918632455,3.404101231910024
contig-120000000,42522,61,-0.0675053590974315,0.5197544800338649,2.9934672966890843,4.611278247192849,0.20279167682162907
contig-121000000,42490,32,-0.0809424279878624,0.326100258884443,-14.333763933118865,2.093414621597905,-9.635560813868423
contig-1212000000,5125,11,-0.0723928143710386,0.527609756097561,3.7674792818807554,10.137878887653489,3.291663548893661
contig-1219000000,5070,41,-0.0718376403861584,0.38560157790927,-10.91273002687828,-5.528608231022407,5.3497023791624505
contig-1229000000,6356,81,-0.08788409982928999,0.6578036500943989,15.819772334426315,-3.0523233795978646,-1.785264556006348
contig-123000000,42064,61,-0.0671338091649439,0.5171880943324461,2.242095881392741,4.720526488907552,1.0600203221374878
contig-1232000000,4991,61,-0.0677937500923654,0.5225405730314571,2.77271107812093,4.6784066910277184,-0.41934988856916455
contig-1237000000,4972,81,-0.0877903760549304,0.6574818986323411,16.660421312401752,-2.356113136399293,-3.4634527950280343
contig-124000000,42043,61,-0.0674182357895031,0.510857931165711,2.2096949348782973,4.539354034569104,-0.654821200981637
