id,bin
contig-180000000,61
contig-1299000000,11
contig-283000000,61
contig-784000000,41
contig-167000000,61
contig-303000000,71
contig-872000000,71
contig-605000000,71
contig-1183000000,61
contig-1346000000,11
contig-172000000,32
contig-473000000,61
contig-1284000000,71
contig-144000000,41
contig-98000000,41
contig-1134000000,61
contig-338000000,71
contig-189000000,71
contig-881000000,71
contig-447000000,41
contig-207000000,71
contig-1234000000,11
contig-171000000,71
contig-86000000,41
contig-1154000000,41
contig-384000000,71
contig-465000000,71
contig-766000000,61
contig-1636000000,11
contig-1216000000,11
contig-244000000,41
contig-1546000000,11
contig-1081000000,71
contig-819000000,71
contig-239000000,61
contig-816000000,71
contig-919000000,41
contig-261000000,32
contig-867000000,71
contig-735000000,71
contig-584000000,61
contig-2385000000,32
contig-796000000,32
contig-198000000,71
contig-1955000000,71
contig-178000000,71
contig-14000000,51
contig-978000000,71
contig-1648000000,71
contig-887000000,61
contig-1106000000,71
contig-1034000000,11
contig-1485000000,61
contig-77000000,32
contig-1857000000,11
contig-1325000000,11
contig-2097000000,41
contig-814000000,71
contig-1294000000,11
contig-51000000,71
contig-1312000000,41
contig-2487000000,41
contig-175000000,71
contig-901000000,11
contig-1468000000,61
contig-1108000000,71
contig-941000000,71
contig-1053000000,71
contig-616000000,71
contig-1479000000,71
contig-980000000,61
contig-394000000,71
contig-923000000,61
contig-1033000000,61
contig-516000000,41
contig-234000000,71
contig-1215000000,11
contig-1417000000,61
contig-463000000,71
contig-1659000000,11
contig-1602000000,11
contig-1557000000,71
contig-377000000,71
contig-1067000000,71
contig-859000000,41
contig-1563000000,71
contig-1153000000,11
contig-1112000000,41
contig-3254000000,71
contig-489000000,61
contig-272000000,71
contig-1573000000,11
contig-1118000000,11
contig-729000000,71
contig-862000000,41
contig-779000000,61
contig-1008000000,11
contig-280000000,41
contig-78000000,71
contig-670000000,71
contig-812000000,11
contig-1506000000,71
contig-60000000,71
contig-536000000,61
contig-588000000,71
contig-1295000000,11
contig-294000000,51
contig-727000000,61
contig-495000000,71
contig-251000000,61
contig-450000000,71
contig-726000000,41
contig-1317000000,11
contig-324000000,71
contig-1457000000,71
contig-417000000,61
contig-1418000000,71
contig-61000000,61
contig-532000000,71
contig-864000000,71
contig-521000000,71
contig-800000000,61
contig-1218000000,51
contig-705000000,61
contig-1616000000,11
contig-100000000,51
contig-687000000,61
contig-782000000,11
contig-240000000,41
contig-339000000,71
contig-672000000,71
contig-382000000,61
contig-2865000000,71
contig-793000000,71
contig-1329000000,11
contig-718000000,71
contig-786000000,71
contig-754000000,61
contig-2878000000,71
contig-751000000,11
contig-1564000000,11
contig-1536000000,71
contig-1065000000,11
contig-860000000,71
contig-759000000,61
contig-1101000000,11
contig-23000000,51
contig-1203000000,11
contig-1303000000,41
contig-411000000,41
contig-399000000,71
contig-999000000,11
contig-963000000,11
contig-2757000000,11
contig-1792000000,11
contig-101000000,61
contig-1068000000,11
contig-844000000,11
contig-1226000000,41
contig-448000000,41
contig-1402000000,11
contig-972000000,11
contig-1157000000,11
contig-1286000000,11
contig-1184000000,11
contig-836000000,61
contig-493000000,71
contig-419000000,51
contig-876000000,11
contig-488000000,71
contig-865000000,11
contig-255000000,71
contig-371000000,71
contig-1410000000,41
contig-1375000000,41
contig-1170000000,11
contig-1243000000,11
contig-319000000,71
