id,bin
NODE_121_length_118700_cov_45.958877,contigs.fasta_bin_15D
NODE_162_length_93474_cov_71.304510,contigs.fasta_bin_37AH
NODE_171_length_91077_cov_188.087715,contigs.fasta_bin_15D
NODE_198_length_78971_cov_39.362221,contigs.fasta_bin_13.1.1.1.1.1
NODE_238_length_68657_cov_306.454491,contigs.fasta_bin_13A
NODE_263_length_61925_cov_39.559431,contigs.fasta_bin_27
NODE_304_length_55777_cov_22.413051,contigs.fasta_bin_37AH
NODE_317_length_54003_cov_13.644269,contigs.fasta_bin_6D
NODE_407_length_42397_cov_117.863067,contigs.fasta_bin_23B
NODE_438_length_38987_cov_39.057305,contigs.fasta_bin_37H
NODE_481_length_35692_cov_12.853860,contigs.fasta_bin_14B
NODE_488_length_35295_cov_584.229881,contigs.fasta_bin_37H
NODE_496_length_34639_cov_45.439423,contigs.fasta_bin_37H
NODE_503_length_34175_cov_38.895487,contigs.fasta_bin_2D
NODE_544_length_31916_cov_406.207621,contigs.fasta_bin_23B
NODE_603_length_28328_cov_116.219397,contigs.fasta_bin_23B
NODE_617_length_27430_cov_12.725187,contigs.fasta_bin_14B
NODE_640_length_25941_cov_12.366569,contigs.fasta_bin_15D
NODE_655_length_25147_cov_210.195600,contigs.fasta_bin_12G
NODE_1_length_1308710_cov_157.405353,contigs.fasta_bin_1A
NODE_2_length_1228130_cov_115.151351,contigs.fasta_bin_2D
NODE_3_length_1172738_cov_61.485340,contigs.fasta_bin_3B
NODE_4_length_1131848_cov_21.016502,contigs.fasta_bin_4A
NODE_5_length_808523_cov_157.524967,contigs.fasta_bin_5B
NODE_6_length_753208_cov_157.710285,contigs.fasta_bin_5B
NODE_7_length_746385_cov_305.582025,contigs.fasta_bin_6D
NODE_8_length_729750_cov_20.968808,contigs.fasta_bin_4A
NODE_9_length_674832_cov_21.095141,contigs.fasta_bin_4A
NODE_10_length_646039_cov_582.608089,contigs.fasta_bin_7
NODE_11_length_623146_cov_20.884559,contigs.fasta_bin_4A
NODE_12_length_601524_cov_61.622719,contigs.fasta_bin_8B
NODE_13_length_555823_cov_157.631307,contigs.fasta_bin_5B
NODE_14_length_530784_cov_124.481992,contigs.fasta_bin_9E
NODE_15_length_529766_cov_124.562316,contigs.fasta_bin_10A
NODE_16_length_506531_cov_305.961890,contigs.fasta_bin_6D
NODE_17_length_495754_cov_124.332206,contigs.fasta_bin_9E
NODE_18_length_466048_cov_20.607679,contigs.fasta_bin_11A
NODE_19_length_465187_cov_157.512377,contigs.fasta_bin_5B
NODE_20_length_462493_cov_157.859525,contigs.fasta_bin_5B
NODE_21_length_458137_cov_115.154715,contigs.fasta_bin_2D
NODE_22_length_429825_cov_157.531275,contigs.fasta_bin_1A
NODE_23_length_404858_cov_582.146995,contigs.fasta_bin_7
NODE_24_length_387739_cov_115.104701,contigs.fasta_bin_2D
NODE_25_length_383069_cov_157.300375,contigs.fasta_bin_5B
NODE_26_length_371114_cov_124.363435,contigs.fasta_bin_9E
NODE_27_length_353857_cov_124.591204,contigs.fasta_bin_9E
NODE_28_length_342942_cov_38.995258,contigs.fasta_bin_12G
NODE_29_length_335462_cov_61.600050,contigs.fasta_bin_8B
NODE_30_length_333622_cov_124.465757,contigs.fasta_bin_10A
NODE_31_length_332180_cov_115.194412,contigs.fasta_bin_2D
NODE_32_length_323283_cov_22.398975,contigs.fasta_bin_13.1.1.1.1.1
NODE_33_length_311450_cov_157.895512,contigs.fasta_bin_1A
NODE_34_length_305958_cov_61.535516,contigs.fasta_bin_8B
NODE_35_length_304742_cov_62.528208,contigs.fasta_bin_8B
NODE_36_length_298727_cov_116.110265,contigs.fasta_bin_2D
NODE_37_length_295682_cov_39.077310,contigs.fasta_bin_12G
NODE_38_length_294698_cov_115.315599,contigs.fasta_bin_2D
NODE_39_length_287508_cov_124.638884,contigs.fasta_bin_9E
NODE_40_length_287446_cov_115.255902,contigs.fasta_bin_2D
NODE_41_length_282794_cov_115.295237,contigs.fasta_bin_2D
NODE_42_length_275322_cov_115.232462,contigs.fasta_bin_2D
NODE_43_length_260209_cov_61.566803,contigs.fasta_bin_3B
NODE_44_length_257217_cov_39.049887,contigs.fasta_bin_12G
NODE_45_length_254763_cov_38.910607,contigs.fasta_bin_12G
NODE_46_length_251076_cov_582.123838,contigs.fasta_bin_7
NODE_47_length_249033_cov_157.103608,contigs.fasta_bin_5B
NODE_48_length_246528_cov_124.619062,contigs.fasta_bin_10A
NODE_49_length_241058_cov_157.902001,contigs.fasta_bin_1A
NODE_50_length_239311_cov_39.063756,contigs.fasta_bin_12G
NODE_51_length_236092_cov_305.958583,contigs.fasta_bin_6D
NODE_52_length_223170_cov_115.514614,contigs.fasta_bin_2D
NODE_53_length_220743_cov_157.997444,contigs.fasta_bin_5B
NODE_54_length_216516_cov_21.150503,contigs.fasta_bin_11A
NODE_55_length_216233_cov_12.540004,contigs.fasta_bin_14B
NODE_56_length_213065_cov_39.023478,contigs.fasta_bin_12G
NODE_57_length_210917_cov_157.153906,contigs.fasta_bin_1A
NODE_58_length_206149_cov_124.605772,contigs.fasta_bin_9E
NODE_59_length_202917_cov_115.870937,contigs.fasta_bin_2D
NODE_60_length_198045_cov_582.069847,contigs.fasta_bin_7
NODE_61_length_196965_cov_124.616607,contigs.fasta_bin_9E
NODE_62_length_195831_cov_581.768777,contigs.fasta_bin_7
NODE_63_length_192500_cov_12.140274,contigs.fasta_bin_14B
NODE_64_length_182374_cov_305.766004,contigs.fasta_bin_6D
NODE_65_length_175852_cov_21.740798,contigs.fasta_bin_4A
NODE_66_length_175528_cov_157.567119,contigs.fasta_bin_1A
NODE_67_length_174365_cov_305.821565,contigs.fasta_bin_6D
NODE_68_length_170762_cov_157.165488,contigs.fasta_bin_1A
NODE_69_length_168596_cov_22.581330,contigs.fasta_bin_13.1.1.1.1.1
NODE_70_length_166097_cov_39.226678,contigs.fasta_bin_12G
NODE_71_length_165274_cov_115.417743,contigs.fasta_bin_2D
NODE_72_length_165129_cov_39.047651,contigs.fasta_bin_12G
NODE_73_length_164588_cov_306.575003,contigs.fasta_bin_6D
NODE_74_length_163269_cov_115.292573,contigs.fasta_bin_2D
NODE_75_length_163235_cov_14.167183,contigs.fasta_bin_13A
NODE_76_length_162268_cov_20.580496,contigs.fasta_bin_11A
NODE_77_length_160621_cov_39.120162,contigs.fasta_bin_12G
NODE_78_length_160108_cov_39.507088,contigs.fasta_bin_12G
NODE_79_length_157428_cov_582.026523,contigs.fasta_bin_15D
NODE_80_length_156446_cov_61.563728,contigs.fasta_bin_3B
NODE_81_length_156294_cov_12.316771,contigs.fasta_bin_14B
NODE_82_length_156040_cov_39.402725,contigs.fasta_bin_12G
NODE_83_length_154827_cov_28.876780,contigs.fasta_bin_16D
NODE_84_length_152900_cov_61.788550,contigs.fasta_bin_16D
NODE_85_length_152607_cov_156.317243,contigs.fasta_bin_1A
NODE_86_length_152084_cov_124.336712,contigs.fasta_bin_9E
NODE_87_length_152079_cov_115.459053,contigs.fasta_bin_2D
NODE_88_length_149852_cov_39.050635,contigs.fasta_bin_12G
NODE_89_length_146074_cov_61.687808,contigs.fasta_bin_3B
NODE_90_length_145974_cov_61.541547,contigs.fasta_bin_3B
NODE_91_length_142183_cov_22.798766,contigs.fasta_bin_13.1.1.1.1.1
NODE_92_length_141133_cov_124.364763,contigs.fasta_bin_9E
NODE_93_length_141073_cov_19.993618,contigs.fasta_bin_11A
NODE_94_length_140696_cov_39.072703,contigs.fasta_bin_12G
NODE_95_length_140434_cov_61.735331,contigs.fasta_bin_3B
NODE_96_length_139578_cov_61.583137,contigs.fasta_bin_8B
NODE_97_length_139291_cov_304.837937,contigs.fasta_bin_6D
NODE_98_length_138140_cov_124.368367,contigs.fasta_bin_9E
NODE_99_length_138040_cov_306.703598,contigs.fasta_bin_6D
NODE_100_length_135531_cov_115.519612,contigs.fasta_bin_2D
NODE_101_length_135386_cov_39.181370,contigs.fasta_bin_12G
NODE_102_length_134847_cov_305.645676,contigs.fasta_bin_6D
